id,title,description,price,availability,link,image_link,brand,condition,gtin,mpn
PROD001,Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life. Perfect for music lovers and professionals.,79.99,in stock,https://example.com/products/wireless-headphones,https://example.com/images/wireless-headphones.jpg,AudioTech,new,1234567890123,WH-2024-001
PROD002,Smart Watch Pro,Advanced fitness tracking smartwatch with heart rate monitor, GPS, and 7-day battery life. Water-resistant up to 50m.,249.99,in stock,https://example.com/products/smart-watch-pro,https://example.com/images/smart-watch-pro.jpg,TechWear,new,2345678901234,SW-2024-002
PROD003,USB-C Laptop Charger,65W fast charging USB-C power adapter compatible with MacBook, Dell, HP, and other USB-C laptops. Compact and portable.,34.99,in stock,https://example.com/products/usb-c-charger,https://example.com/images/usb-c-charger.jpg,PowerTech,new,3456789012345,UC-2024-003
PROD004,Cotton T-Shirt - Navy Blue,100% organic cotton t-shirt in navy blue. Comfortable fit, machine washable. Available in sizes S-XL.,24.99,in stock,https://example.com/products/cotton-tshirt-navy,https://example.com/images/cotton-tshirt-navy.jpg,ComfortWear,new,4567890123456,TS-NV-2024-004
PROD005,Wireless Mouse,Ergonomic wireless mouse with 2.4GHz connectivity. 12-month battery life, 1600 DPI sensor, and silent click technology.,19.99,in stock,https://example.com/products/wireless-mouse,https://example.com/images/wireless-mouse.jpg,ClickTech,new,5678901234567,WM-2024-005
PROD006,Coffee Maker - 12 Cup,Programmable drip coffee maker with thermal carafe. Auto shut-off, brew strength control, and reusable filter included.,89.99,in stock,https://example.com/products/coffee-maker-12cup,https://example.com/images/coffee-maker-12cup.jpg,BrewMaster,new,6789012345678,CM-12-2024-006
PROD007,Backpack - Travel Edition,Water-resistant travel backpack with laptop compartment, multiple pockets, and USB charging port. 40L capacity.,59.99,in stock,https://example.com/products/travel-backpack,https://example.com/images/travel-backpack.jpg,TrekGear,new,7890123456789,TB-40-2024-007
PROD008,LED Desk Lamp,Adjustable LED desk lamp with 5 brightness levels and 3 color temperatures. USB charging port and touch control.,39.99,in stock,https://example.com/products/led-desk-lamp,https://example.com/images/led-desk-lamp.jpg,LightPro,new,8901234567890,LD-2024-008
PROD009,Mechanical Keyboard RGB,RGB backlit mechanical keyboard with Cherry MX switches. Full-size layout with dedicated media controls.,129.99,in stock,https://example.com/products/mechanical-keyboard-rgb,https://example.com/images/mechanical-keyboard-rgb.jpg,KeyTech,new,9012345678901,MK-RGB-2024-009
PROD010,Portable Power Bank 20000mAh,High-capacity power bank with USB-C and USB-A ports. Fast charging support for phones, tablets, and laptops.,49.99,in stock,https://example.com/products/power-bank-20000,https://example.com/images/power-bank-20000.jpg,PowerMax,new,0123456789012,PB-20K-2024-010
PROD011,Running Shoes - Men's Size 10,Lightweight running shoes with breathable mesh upper and cushioned sole. Perfect for daily runs and gym workouts.,89.99,in stock,https://example.com/products/running-shoes-men-10,https://example.com/images/running-shoes-men-10.jpg,SportFit,new,1234509876543,RS-M10-2024-011
PROD012,Yoga Mat Premium,Non-slip yoga mat with extra cushioning. Eco-friendly material, easy to clean, and includes carrying strap.,29.99,in stock,https://example.com/products/yoga-mat-premium,https://example.com/images/yoga-mat-premium.jpg,FlexFit,new,2345610987654,YM-P-2024-012
PROD013,Wireless Earbuds Pro,True wireless earbuds with active noise cancellation, 8-hour battery life, and charging case. IPX7 water resistance.,119.99,in stock,https://example.com/products/wireless-earbuds-pro,https://example.com/images/wireless-earbuds-pro.jpg,AudioTech,new,3456721098765,WE-PRO-2024-013
PROD014,Standing Desk Converter,Adjustable standing desk converter that fits on any desk. Height adjustable from 5 to 15 inches. Keyboard tray included.,199.99,in stock,https://example.com/products/standing-desk-converter,https://example.com/images/standing-desk-converter.jpg,ErgoDesk,new,4567832109876,SDC-2024-014
PROD015,Bluetooth Speaker Waterproof,Portable Bluetooth speaker with 360-degree sound. IPX7 waterproof, 12-hour battery, and built-in microphone for calls.,69.99,in stock,https://example.com/products/bluetooth-speaker-waterproof,https://example.com/images/bluetooth-speaker-waterproof.jpg,SoundWave,new,5678943210987,BS-WP-2024-015
PROD016,Wireless Charging Pad,Qi-compatible wireless charging pad for smartphones. Fast charging support up to 15W. LED indicator and anti-slip surface.,24.99,in stock,https://example.com/products/wireless-charging-pad,https://example.com/images/wireless-charging-pad.jpg,ChargeTech,new,6789054321098,WCP-2024-016
PROD017,4K Webcam with Microphone,Ultra HD 4K webcam with built-in noise-canceling microphone. Auto-focus, low-light correction, and privacy shutter.,149.99,in stock,https://example.com/products/4k-webcam-microphone,https://example.com/images/4k-webcam-microphone.jpg,VideoPro,new,7890165432109,WC-4K-2024-017
PROD018,Ergonomic Office Chair,Comfortable ergonomic office chair with lumbar support, adjustable height, and 360-degree swivel. Mesh back for breathability.,299.99,in stock,https://example.com/products/ergonomic-office-chair,https://example.com/images/ergonomic-office-chair.jpg,ComfortSeat,new,8901276543210,EOC-2024-018
PROD019,Tablet Stand Adjustable,Adjustable aluminum tablet stand for iPad and Android tablets. 5 viewing angles, foldable design, and non-slip base.,19.99,in stock,https://example.com/products/tablet-stand-adjustable,https://example.com/images/tablet-stand-adjustable.jpg,StandPro,new,9012387654321,TS-A-2024-019
PROD020,Cable Management Kit,Complete cable management solution with cable clips, sleeves, and ties. Organize your desk cables neatly and professionally.,14.99,in stock,https://example.com/products/cable-management-kit,https://example.com/images/cable-management-kit.jpg,OrganizeTech,new,0123498765432,CMK-2024-020
